LDC,Class,951cn,cls
"""Your """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" in the """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""All of your colonies are""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" forced to make """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" concessions to security considerations and devote """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
""" resources to defensive measures. """,com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Stability reduced by %s, accessibility reduced by %s.""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""%""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Star system""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Danger""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Primary threats""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Danger level of the stronger fleets likely to be found in the system. Approximate, there may be exceptions. Does not include hostile fleets that may be present there for other reasons.""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#VALUE!,x
"""The most dangerous types of threats likely to be found in the system. Not comprehensive, and does not include hostile fleets that may be present there for other reasons.""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#VALUE!,x
""" colonies""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""None""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Hostile Activity""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Extreme""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""High""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Medium""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Low""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Minimal""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""None""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Unknown""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""Colony threats""",com/fs/starfarer/api/impl/campaign/intel/events/HostileActivityEventIntel,#N/A,x
"""The $shortName's memory banks have been scrubbed clean by hard radiation, and the systems are largely inert and non-functional.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""$shortName 的记忆库被强辐射清零了, 而且这些系统正处于惰性与无法使用的状态中.""",x
"""The $shortName's memory banks are partially accessible, and the data therein """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""$shortName 的记忆库 仍可访问, 其中的数据 """,x
"""Your salvage crews find a memory bank in the debris. The data therein """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""你的打捞人员在废墟中找到一个记忆库. """,x
"""located """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""位于 """,x
"""Habitable World""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""拥有宜居地貌的行星""",x
"""points to the existence of """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""存在着低危险度的 """,x
""" with a low hazard rating """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,""" , """,x
""" Location""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,""" 的位置""",x
"""contained information about """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""记录了一处拥有 """,x
""" on """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,""" 的 """,x
"""While exploring $aOrAn $nameInText, your crews found partially accessible memory banks that """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""在探索 $aOrAn $nameInText 时, 你的打捞 人员发现了 部分仍可 访问的记忆库 """,x
"""located """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""位于 """,x
"""The $shortName's memory banks are partially accessible, and contain full survey data for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""$shortName 的记忆库仍可访问, 其中包含了 以下行星的 全面调查数据 """,x
""" located """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""""",x
"""While exploring $aOrAn $nameInText, your crews found partially accessible memory banks that contain full survey data for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""在探索 $aOrAn $nameInText 时, 你的打捞人员发现了 包含全面调查数据的记忆库 """,x
""" located """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""""",x
"""Your salvage crews find a functional memory bank in the debris. It contains full survey data for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""你的打捞人员 在废墟中 找到一个 功能记忆库. 它包含 完整的 全面调查数据 """,x
""" located """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""""",x
""" The world is notable for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,""" 该行星拥有 令人瞩目的 """,x
""" The world is notable for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,""" 该行星拥有 令人瞩目的 """,x
"""being habitable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""宜居地貌.""",x
"""being habitable.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""宜居地貌.""",x
"""having """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""""",x
"""having """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""""",x
"""Survey Data for """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""完整调查数据: """,x
"""The $shortName's memory banks are partially accessible, and contain complete preliminary survey data for the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""$shortName 的记忆库 仍可访问, 其中包含了 以下行星的 初步调查数据 """,x
"""While exploring $aOrAn $nameInText, your crews found partially accessible memory banks that contain complete preliminary survey data for the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,#VALUE!,x
"""Your salvage crews find a functional memory bank in the debris. It contains complete preliminary survey data for the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""你的打捞人员 在废墟中 找到一个 功能记忆库. 它包含 完整的初步 调查数据 """,x
"""Preliminary Survey of the """,com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""初步调查 """,x
"""Preliminary survey data for:""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""初步调查数据:""",x
"""However, you've already acquired this data through other means.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/SurveyDataSpecial,"""然而, 你已经通过其他方式获取了这些数据.""",x
"""him""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""他""",x
"""her""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""她""",x
"""A grizzled spacer sits at the bar, downing shots of what looks like the cheapest liquor available.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""酒吧一处不起眼的角落里坐着一名头发花白喝着廉价烈酒的老家伙.""",x
"""Approach the spacer and offer to buy """,com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""你从酒保那接过两杯加冰的威士忌,}并将一杯放在""",x
""" something more palatable""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""的面前.""",x
"""himself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""他""",x
"""herself""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""她""",x
"""You keep the drinks flowing and mostly just listen, letting the spacer unburden """,com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""这杯威士忌没有让你失望,}喝得半醉的""",x
""".""",com/fs/starfarer/api/impl/campaign/intel/bar/events/PirateBaseRumorBarEvent,"""终究还是说出了些有价值的情报.""",x
"""Recovered ships start with 30-40% combat readiness""",com/fs/starfarer/api/impl/campaign/skills/FieldRepairs$Level5B,"""被打捞的舰船将立刻恢复 30-40% 的整备值""",x
"""Perform a tactical bombardment of""",com/fs/starfarer/api/impl/campaign/missions/AFavorForKanta,#N/A,x
"""Kanta's Protection lost""",com/fs/starfarer/api/impl/campaign/missions/AFavorForKanta,#N/A,x
"""Tactically bombard """,com/fs/starfarer/api/impl/campaign/missions/AFavorForKanta,#N/A,x
""" in the """,com/fs/starfarer/api/impl/campaign/missions/AFavorForKanta,#N/A,x
"""A Favor for Kanta""",com/fs/starfarer/api/impl/campaign/missions/AFavorForKanta,#N/A,x
"""Leave""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""离开""",x
"""Repaired at station""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""维修站""",x
"""Transfer cargo or personnel""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""转移货物或人员""",x
"""Transfer ships to or from this station""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""从本空间站转移舰船""",x
"""Make use of the dockyard's refitting facilities""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""使用船厂的改装设施""",x
"""Trade, or hire personnel""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""贸易, 或雇用人员""",x
"""Buy or sell ships""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""购买或出售舰船""",x
"""Make use of the dockyard's refitting facilities""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""使用船厂的改装设施""",x
"""Repair your ships at the station's dockyard""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""修复你在该站船坞的舰船""",x
"""Leave""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""离开""",x
"""fleet""",com/fs/starfarer/api/impl/campaign/OrbitalStationInteractionDialogPluginImpl,"""舰队""",x
"""Cargo""",com/fs/starfarer/api/impl/campaign/plog/PLStatCargo,""" 货物""",x
"""Your salvage crews discover a transmitter set to send a signal when tripped by an alarm system, but it doesn't appear to be functional. Closer examination indicates it was probably set many cycles ago.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/TransmitterTrapSpecial,#VALUE!,x
"""Your salvage crews discover a transmitter set to send a signal when tripped by an alarm system. The alarm went off as intended, but the transmitter was fried by a power surge before it could do its job.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/TransmitterTrapSpecial,#VALUE!,x
"""As your salvage crews begin their work, a transmitter hidden somewhere planetside sends out an encrypted, broadwave signal. Whatever destination it's meant for, it has to be nearby.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/TransmitterTrapSpecial,#VALUE!,x
"""As your salvage crews begin their work, a transmitter inside the $shortName sends out an encrypted, broadwave signal. Whatever destination it's meant for, it has to be nearby.""",com/fs/starfarer/api/impl/campaign/rulecmd/salvage/special/TransmitterTrapSpecial,#VALUE!,x
"""Trade fleets lost""",com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,"""失去贸易商队""",x
"""Shipping Disruption""",com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,"""运输中断""",x
"""Trade fleets launched from """,com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,"""由于通往 """,x
""" have suffered losses, """,com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,""" 的贸易商队在途中遭受巨大损失, """,x
"""resulting in a temporary accessibility penalty of %s.""",com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,"""导致流通性暂时降低 %s.""",x
"""The local availability of some commodities has been reduced by trade fleet losses. Provided no further losses occur, commodity availability should return to normal levels within at most three months.""",com/fs/starfarer/api/impl/campaign/econ/ShippingDisruption,#VALUE!,x
"""Recovered ships start with 30-40% hull integrity""",com/fs/starfarer/api/impl/campaign/skills/FieldRepairs$Level5A,"""被打捞的舰船将立刻恢复 30-40% 的结构值""",x
"""Based on the size and stability of the largest colony under your control. If multiple colonies have the same size, the one with higher stability is used.""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$2,#VALUE!,x
"""Biggest colony: %s, size: %s, stability: %s""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$2,#N/A,x
"""Defensive measures taken by your colonies.""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$1,#N/A,x
"""Based on the size the largest colony under your control that has a Patrol HQ, a Military Base, or a High Command.""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$3,#N/A,x
"""A Patrol HQ reduces monthly progress by %s points. A Military Base and a High Command reduce progress by %s and %s the colony's size, respectively. Only the highest-scoring colony is used, building multiple military bases has no effect.""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$3,#VALUE!,x
"""×""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$3,#N/A,x
"""×""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$3,#N/A,x
"""Best military colony: %s, size: %s, score: %s points""",com/fs/starfarer/api/impl/campaign/intel/events/HADefensiveMeasuresFactor$3,#N/A,x
"""Orbital works""",com/fs/starfarer/api/impl/campaign/econ/impl/HeavyIndustry,"""轨道设施""",x
"""Orbital works""",com/fs/starfarer/api/impl/campaign/econ/impl/HeavyIndustry,"""轨道设施""",x
""" - low stability""",com/fs/starfarer/api/impl/campaign/econ/impl/HeavyIndustry,""" - 稳定性较低""",x
"""Ship quality: %s""",com/fs/starfarer/api/impl/campaign/econ/impl/HeavyIndustry,"""舰船质量: %s""",x
"""*Quality bonus only applies for the largest ship producer in the faction.""",com/fs/starfarer/api/impl/campaign/econ/impl/HeavyIndustry,"""该奖励仅适用于本势力最大的舰船生产地.""",x
"""laying in wait""",com/fs/starfarer/api/impl/campaign/enc/SlipstreamMercenaryEPEC,"""埋伏中""",x
"""Fighting srength of %s: %f""",com/fs/starfarer/api/impl/campaign/BattleAutoresolverPluginImpl$FleetAutoresolveData,"""战斗强度 %s: %f""",x
"""Reduces fuel consumption by %s or %s units, whichever is lower""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level4,"""降低 %s 或 %s 单位的燃料消耗, 按两者中较低者计算""",x
"""is""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level4,""", """,x
"""would be""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level4,""", """,x
"""Your fleet has a base fuel consumption of %s, which """,com/fs/starfarer/api/impl/campaign/skills/Navigation$Level4,"""你的舰队基础燃料消耗为 %s""",x
""" reduced by %s, or %s units""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level4,"""现在降低 %s 或 %s 单位""",x
"""% fuel consumption""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level2,"""% 燃料消耗""",x
"""% terrain movement penalty from all applicable terrain""",com/fs/starfarer/api/impl/campaign/skills/Navigation$Level1,"""% 特殊地形的移动速度惩罚""",x
"""unique superconducting structural element""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个独特的超导结构元件""",x
"""an advanced field conversion prototype""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个先进的力场转换原型""",x
"""a transparametric integrator""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个反式参数积分器""",x
"""an extremely rare material sample""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一种极其罕见的材料样本""",x
"""an uncommon power system component""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一种罕见的电力系统元件""",x
"""a Domain-era forge component""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个人之领时代的锻造组件""",x
"""a small-scale momentum decoupling device""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个小型动量解耦器""",x
"""a fascinating low-power field projector""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""一个迷人的低倍视野投影仪""",x
"""exploring system""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""正在探索星系""",x
"""preparing to leave system""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""准备离开星系""",x
"""a """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" """,x
"""a """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" """,x
"""an """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" """,x
"""an """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" """,x
""" 'Autonomous weapon systems' may pose a danger.""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" 注意: 其中的 '自动武器系统' 可能会构成危险.""",x
"""Retrieve """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""从一艘遗弃舰中找到 """,x
""" from a derelict ship """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""", 目标: """,x
"""Retrieve the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""回收 """,x
""" from the pirates as they resupply from a cache """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""", 目标为一支在隐藏仓库 附近补给的海盗舰队, 其位于 """,x
"""Go to the nearest jump-point and retrieve the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""前往最近的跳跃点附近,}并在拾荒者离开星系前,}从其手中夺回}""",x
""" from scavengers before they leave the system.""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""""",x
"""Return the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""将 """,x
""" to the Galatia Academy and talk to """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" 送回 Galatia 学院, 并联系 """,x
""" to receive your reward.""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""" 即可获得奖励.""",x
"""Retrieve the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""回收 """,x
""" from a derelict ship""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""", 目标: 废弃舰船""",x
"""Retrieve the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""回收 """,x
""" from pirates in the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""", 目标: 海盗 - """,x
"""Retrieve the """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""回收 """,x
""" from scavengers at the nearest jump-point""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,""", 目标为跳跃点 附近的拾荒者""",x
"""Return to the Galatia Academy and talk to """,com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""回到 Galatia 学院, 并联系 """,x
"""Derelict Artifact Recovery""",com/fs/starfarer/api/impl/campaign/missions/academy/GADerelictArtifact,"""制品回收""",x
"""- Press %s to quick-save, if you like""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 快速保存, 如果你喜欢的话""",x
"""- Press %s to quick-save and advance the tutorial""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 快速保存并进入下一步教程""",x
"""Please follow the instructions near the bottom of the screen and quicksave to advance the tutorial.""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""请按照屏幕底部附近的指示,}用 快速存档 来推进本教程.""",x
"""- Move up into the debris field""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 移动到残骸区""",x
"""- Press %s to start scavenging""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 开始打捞""",x
"""- Press %s to start scavenging""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 开始打捞""",x
"""- Wait for the pirates to approach, then engage and defeat them!""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 等待海盗接近, 然后接触并打败他们!""",x
"""- Press %s to open the character tab and consider your options""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 打开角色面板并考虑你的选项""",x
"""- Press %s to open the intel tab, and select the mission""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 打开网络信息面板并选择任务""",x
"""- Press %s to open the map on the mission target""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 打开地图并找到任务 """,x
"""- Click on """,com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按住 """,x
""" and select """,com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,""" 并选择 """,x
"""%s, then press %s to close the map""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""%s, 然后按 %s 关闭地图""",x
"""""Lay in Course""""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""""自动导航""""",x
"""- Press %s to engage sustained burn""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 进行持续加速""",x
"""- Press and hold %s to move slowly through the asteroid belt""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按住 %s 在小行星带中缓慢航行""",x
"""- Press %s twice to turn on the transponder""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""- 按 %s 两次 打开应答器""",x
"""Rogue Miner""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""流氓矿工""",x
"""Security Detachment""",com/fs/starfarer/api/impl/campaign/tutorial/CampaignTutorialScript,"""安保分遣队""",x
"""Your forces""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,"""你的舰队""",x
""", with allies""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,""", 与盟军""",x
"""Allied forces""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,"""盟军""",x
""", with allies""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,""", 与盟军""",x
""", with allies""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,""", 与盟军""",x
""", with allies""",com/fs/starfarer/api/impl/campaign/rulecmd/ShowImageVisual,""", 与盟军""",x
"""OUT OF RANGE""",com/fs/starfarer/api/impl/combat/MoteControlScript,"""超出范围""",x
"""Incident averted by local security forces""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""反恐行动""",x
""" operations disrupted for %s """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,""" 被瘫痪了 %s """,x
"""Stability reduced by %s""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""稳定性降低 %s""",x
"""Colony destroyed by planetbuster""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""该殖民地已被行星杀手摧毁""",x
"""Pather interest""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""受威胁的设施""",x
"""The following activity is attracting Pather interest, whether due to AI core use or the inherent nature of the industry:""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""无论是罪恶的 AI 核心还是违背卢德教义的工业生产, 以下设施将必定受到卢德左径的制裁:""",x
"""Suspected AI core administrator (%s)""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""疑似 AI 行政官 (%s)""",x
"""AI core administrator (%s)""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""AI 行政官 (%s)""",x
"""None""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""无""",x
"""The Pather cells """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""左径狂信徒已被""",x
""" have been dissolved.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,""" 的安全部门铲除.""",x
"""There are indications that sleeper Luddic Path cells are being organized """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""迹象表明, 潜伏中的左径狂信徒正被有预谋的组织起来, 并试图破坏""",x
"""The Pathers have not made any significant moves, but are apparently preparing to do so if whatever activity they object to - industrial development, or the suspected use of AI cores, and other such - continues.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,#VALUE!,x
"""There are active Luddic Path cells """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""有活跃的左径狂信徒正试图破坏""",x
"""They are engaged in planning acts of terror and industrial sabotage, but are unlikely to carry them off unless the overal level of hostile activity in the system provides sufficient cover. The cells also provide intel to Pather fleets operating in-system.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,#VALUE!,x
"""However, the base supporting these cells is no longer operational. It is projected that establishing a new support network will take at least %s """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""然而, 支援这些狂信徒的基地已经不再运作. 预计建立一处新的据点至少需要 %s """,x
""", provided another base exists.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,""", 前提是存在另一处左径基地.""",x
"""The Pather base at the """,com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""左径基地位于 """,x
""" is providing support to these cells.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,""" 并正为狂信徒们提供支援.""",x
"""You do not know the location of the Pather base providing support to these cells.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""你尚未获悉为这些狂信徒提供支持的左径基地位置.""",x
"""If the base is destroyed, it will take some time to organize support from another base, and both ground and fleet operations will be disrupted.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,#N/A,x
"""Impact""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""影响""",x
"""%s stability.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,#N/A,x
"""No perceptible impact on operations as of yet.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""迄今为止尚未造成明显影响.""",x
"""No impact on operations due to lack of material support.""",com/fs/starfarer/api/impl/campaign/intel/bases/LuddicPathCellsIntel,"""因缺乏物质支持, 所以未对该市场造成影响.""",x
