LDC,Class,LDC_96CN,RAW_96CN,note
"""set 4""",com/fs/starfarer/ui/newui/X,"""set 4""","com/fs/starfarer/ui/newui/X.<init> - String - ""set 4""",
"""set 5""",com/fs/starfarer/ui/newui/X,"""set 5""","com/fs/starfarer/ui/newui/X.<init> - String - ""set 5""",
"""prev""",com/fs/starfarer/ui/newui/X,"""上一页""","com/fs/starfarer/ui/newui/X.<init> - String - ""上一页""",
"""next""",com/fs/starfarer/ui/newui/X,"""next""","com/fs/starfarer/ui/newui/X.<init> - String - ""next""",
""", Contact""",com/fs/starfarer/ui/newui/Z,""", 联络""","com/fs/starfarer/ui/newui/nullsuper.sizeChanged - String - "", 联络""",
"""Contact""",com/fs/starfarer/ui/newui/Z,"""联络""","com/fs/starfarer/ui/newui/nullsuper.sizeChanged - String - ""联络""",
"""Abort""",com/fs/starfarer/campaign/ui/m,"""撤销""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""撤销""",
"""Abort""",com/fs/starfarer/campaign/ui/m,"""撤销""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""撤销""",
"""Confirm Transaction""",com/fs/starfarer/campaign/ui/m,"""确认交易""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""确认交易""",
"""Fighters""",com/fs/starfarer/campaign/ui/m,"""战斗机""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""战斗机""",
"""Frigates""",com/fs/starfarer/campaign/ui/m,"""护卫舰""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""护卫舰""",
"""Destroyers""",com/fs/starfarer/campaign/ui/m,"""驱逐舰""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""驱逐舰""",
"""Cruisers""",com/fs/starfarer/campaign/ui/m,"""巡洋舰""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""巡洋舰""",
"""Capital""",com/fs/starfarer/campaign/ui/m,"""主力舰""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""主力舰""",
"""Ships available for purchase""",com/fs/starfarer/campaign/ui/m,"""可购买舰船""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""可购买舰船""",
"""You will receive:""",com/fs/starfarer/campaign/ui/m,"""获得：""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""获得：""",
"""0 credits""",com/fs/starfarer/campaign/ui/m,"""0 星币""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""0 星币""",
"""credits""",com/fs/starfarer/campaign/ui/m,"""星币""","com/fs/starfarer/campaign/ui/O0O0.<init> - String - ""星币""",
"""You will receive:""",com/fs/starfarer/campaign/ui/m,"""获得：""","com/fs/starfarer/campaign/ui/O0O0.advanceImpl - String - ""获得：""",
"""You have to pay:""",com/fs/starfarer/campaign/ui/m,"""花费：""","com/fs/starfarer/campaign/ui/O0O0.advanceImpl - String - ""花费：""",
""" credits""",com/fs/starfarer/campaign/ui/m,""" 星币""","com/fs/starfarer/campaign/ui/O0O0.advanceImpl - String - "" 星币""",
"""credits""",com/fs/starfarer/campaign/ui/m,"""星币""","com/fs/starfarer/campaign/ui/O0O0.advanceImpl - String - ""星币""",
"""Financial transaction confirmed""",com/fs/starfarer/campaign/ui/m,"""交易完毕""","com/fs/starfarer/campaign/ui/O0O0.confirmTransaction - String - ""交易完毕""",
"""Accept""",com/fs/starfarer/ui/newui/c,"""接受""","com/fs/starfarer/campaign/comms/v2/O0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.createLargeDescription - String - ""接受""",
"""hull""",com/fs/starfarer/renderers/oOOO/new,"""船体结构""","com/fs/starfarer/coreui/refit/Object.<init> - String - ""船体结构""",战斗UI锁定目标
"""Ship Systems""",com/fs/starfarer/codex/CodexData,"""战术系统""","com/fs/starfarer/codex/CodexData.<init> - String - ""战术系统""",
"""Weapons""",com/fs/starfarer/codex/CodexData,"""武器""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""武器""",
"""Ballistic""",com/fs/starfarer/codex/CodexData,"""实弹""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""实弹""",
"""Missile""",com/fs/starfarer/codex/CodexData,"""导弹""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""导弹""",
"""Energy""",com/fs/starfarer/codex/CodexData,"""能量""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""能量""",
"""Small""",com/fs/starfarer/codex/CodexData,"""小型""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""小型""",
"""Medium""",com/fs/starfarer/codex/CodexData,"""中型""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""中型""",
"""Large""",com/fs/starfarer/codex/CodexData,"""大型""","com/fs/starfarer/codex/CodexData.ö00000 - String - ""大型""",
"""Fighter Wings""",com/fs/starfarer/codex/CodexData,"""战机联队""","com/fs/starfarer/codex/CodexData.o00000 - String - ""战机联队""",
"""Interceptors""",com/fs/starfarer/codex/CodexData,"""截击机""","com/fs/starfarer/codex/CodexData.o00000 - String - ""截击机""",
"""Bombers""",com/fs/starfarer/codex/CodexData,"""轰炸机""","com/fs/starfarer/codex/CodexData.o00000 - String - ""轰炸机""",
"""Heavy fighters""",com/fs/starfarer/codex/CodexData,"""重型战机""","com/fs/starfarer/codex/CodexData.o00000 - String - ""重型战机""",
"""Assault fighters""",com/fs/starfarer/codex/CodexData,"""歼击机""","com/fs/starfarer/codex/CodexData.o00000 - String - ""歼击机""",
"""Support fighters""",com/fs/starfarer/codex/CodexData,"""超级战机""","com/fs/starfarer/codex/CodexData.o00000 - String - ""超级战机""",
"""Ship Variants""",com/fs/starfarer/codex/CodexData,"""舰船 装配方案""","com/fs/starfarer/codex/CodexData.ÒO0000 - String - ""舰船 装配方案""",
"""Frigates""",com/fs/starfarer/codex/CodexData,"""护卫舰""","com/fs/starfarer/codex/CodexData.ÒO0000 - String - ""护卫舰""",
"""Destroyers""",com/fs/starfarer/codex/CodexData,"""驱逐舰""","com/fs/starfarer/codex/CodexData.ÒO0000 - String - ""驱逐舰""",
"""Cruisers""",com/fs/starfarer/codex/CodexData,"""巡洋舰""","com/fs/starfarer/codex/CodexData.ÒO0000 - String - ""巡洋舰""",
"""Capital ships""",com/fs/starfarer/codex/CodexData,"""主力舰""","com/fs/starfarer/codex/CodexData.ÒO0000 - String - ""主力舰""",
"""Ship Hulls""",com/fs/starfarer/codex/CodexData,"""舰船 原始数据""","com/fs/starfarer/codex/CodexData.oO0000 - String - ""舰船 原始数据""",
"""Frigates""",com/fs/starfarer/codex/CodexData,"""护卫舰""","com/fs/starfarer/codex/CodexData.oO0000 - String - ""护卫舰""",
"""Destroyers""",com/fs/starfarer/codex/CodexData,"""驱逐舰""","com/fs/starfarer/codex/CodexData.oO0000 - String - ""驱逐舰""",
"""Cruisers""",com/fs/starfarer/codex/CodexData,"""巡洋舰""","com/fs/starfarer/codex/CodexData.oO0000 - String - ""巡洋舰""",
"""Capital ships""",com/fs/starfarer/codex/CodexData,"""主力舰""","com/fs/starfarer/codex/CodexData.oO0000 - String - ""主力舰""",
"""Vessel""",com/fs/starfarer/codex/CodexData,"""无人机""","com/fs/starfarer/codex/CodexData.Ô00000 - String - ""无人机""",
""" weapon""",com/fs/starfarer/codex/CodexData,""" 武器""","com/fs/starfarer/codex/CodexData.ø00000 - String - "" 武器""",
"""free assign""",com/fs/starfarer/combat/B/private$o,"""自由分配""","com/fs/starfarer/combat/B/O00O$o.<init> - String - ""自由分配""",
"""Install AI Core""",com/fs/starfarer/ui/impl/Oo0O$1,"""安装 AI 核心""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""安装 AI 核心""",
"""Install an AI core from your cargo in this ship. The ship will benefit from the AI core's skills.""",com/fs/starfarer/ui/impl/Oo0O$1,"""将 AI 核心安装在这艘船上。从而使该舰获得 AI 核心技能的增益。""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""将 AI 核心安装在这艘船上。从而使该舰获得 AI 核心技能的增益。""",
""" (you)""",com/fs/starfarer/ui/impl/Oo0O$1,""" (你) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" (你) """,
""" (you)""",com/fs/starfarer/ui/impl/Oo0O$1,""" (你) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" (你) """,
""" (right-click to unassign)""",com/fs/starfarer/ui/impl/Oo0O$1,""" (右键点击可解除) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" (右键点击可解除) """,
""" (fully integrated, can not be removed)""",com/fs/starfarer/ui/impl/Oo0O$1,""" (已完全集成，无法移除) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" (已完全集成，无法移除) """,
""" (permanently assigned)""",com/fs/starfarer/ui/impl/Oo0O$1,""" (已永久分配) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" (已永久分配) """,
"""Personality: """,com/fs/starfarer/ui/impl/Oo0O$1,"""性格：""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""性格：""",
"""Administrative skills""",com/fs/starfarer/ui/impl/Oo0O$1,"""行政能力""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""行政能力""",
"""Combat-related skills""",com/fs/starfarer/ui/impl/Oo0O$1,"""战斗技能""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""战斗技能""",
""" None""",com/fs/starfarer/ui/impl/Oo0O$1,""" None""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" None""",
"""Monthly salary: %s (unassigned, reduced to %s)""",com/fs/starfarer/ui/impl/Oo0O$1,"""月薪：%s (未上任，减薪至 %s) ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""月薪：%s (未上任，减薪至 %s) """,
"""Monthly salary: %s""",com/fs/starfarer/ui/impl/Oo0O$1,"""月薪：%s""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""月薪：%s""",
"""Monthly salary: %s""",com/fs/starfarer/ui/impl/Oo0O$1,"""月薪：%s""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""月薪：%s""",
"""days""",com/fs/starfarer/ui/impl/Oo0O$1,"""天""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""天""",
"""day""",com/fs/starfarer/ui/impl/Oo0O$1,"""天""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""天""",
"""This officer is a mercenary with %s """,com/fs/starfarer/ui/impl/Oo0O$1,"""该 雇佣军官，其合同还有 %s ""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""该 雇佣军官，其合同还有 %s """,
""" left on their contract.""",com/fs/starfarer/ui/impl/Oo0O$1,""" 到期。""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - "" 到期。""",
"""mercenary""",com/fs/starfarer/ui/impl/Oo0O$1,"""雇佣军官""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""雇佣军官""",
"""This officer is a mercenary with a contract that's about to expire. They may wish to leave next time the fleet is in port.""",com/fs/starfarer/ui/impl/Oo0O$1,"""该 雇佣军官 因合同即将到期，将在下次舰队入港时离开。""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""该 雇佣军官 因合同即将到期，将在下次舰队入港时离开。""",
"""mercenary""",com/fs/starfarer/ui/impl/Oo0O$1,"""雇佣军官""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""雇佣军官""",
""" Aptitude""",com/fs/starfarer/ui/impl/Oo0O$1,""" 能力""","com/fs/starfarer/ui/impl/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.o00000 - String - "" 能力""",
"""Confirm""",com/fs/starfarer/ui/impl/R,"""确认""","com/fs/starfarer/campaign/ui/J.recreate - String - ""确认""",
"""Cancel""",com/fs/starfarer/ui/impl/R,"""取消""","com/fs/starfarer/coreui/refit/ManageVariantsDialog.<init> - String - ""取消""",
"""Ok""",com/fs/starfarer/ui/impl/I,"""确定""","com/fs/starfarer/ui/impl/int.<init> - String - ""确定""",
"""Strike weapons free""",com/fs/starfarer/ui/impl/I,"""打击武器 自动攻击""","com/fs/starfarer/ui/impl/int.<init> - String - ""打击武器 自动攻击""",
"""Fire support weapons free""",com/fs/starfarer/ui/impl/I,"""火力支援武器 自动攻击""","com/fs/starfarer/ui/impl/int.<init> - String - ""火力支援武器 自动攻击""",
"""Imported from""",com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2,"""进口""","com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2.sizeChanged - String - ""进口""",
"""Exported to""",com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2,"""出口""","com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2.sizeChanged - String - ""出口""",
"""Production""",com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2,""" 生产""","com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2.sizeChanged - String - "" 生产""",
"""Demand""",com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2,"""需求""","com/fs/starfarer/campaign/ui/marketinfo/CommodityRowV2.sizeChanged - String - ""需求""",
"""Today""",com/fs/starfarer/ui/impl/E,"""今天""","com/fs/starfarer/ui/impl/E.o00000 - String - ""今天""",
""" days ago""",com/fs/starfarer/ui/impl/E,""" 天前""","com/fs/starfarer/ui/impl/E.o00000 - String - "" 天前""",
"""1 week ago""",com/fs/starfarer/ui/impl/E,"""1 周前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""1 周前""",
"""2 weeks ago""",com/fs/starfarer/ui/impl/E,"""2 周前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""2 周前""",
"""3 weeks ago""",com/fs/starfarer/ui/impl/E,"""3 周前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""3 周前""",
"""1 month ago""",com/fs/starfarer/ui/impl/E,"""1 个月前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""1 个月前""",
"""2 months ago""",com/fs/starfarer/ui/impl/E,"""2 个月前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""2 个月前""",
"""3 months ago""",com/fs/starfarer/ui/impl/E,"""3 个月前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""3 个月前""",
""">3 months ago""",com/fs/starfarer/ui/impl/E,"""大于 3 月前""","com/fs/starfarer/ui/impl/E.o00000 - String - ""大于 3 月前""",
"""Sort by planet class, which roughly corresponds to the general desirability of the planet for colonization.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$4,"""按照行星级别进行排序，级别越高殖民价值也就越高。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$4.createImpl - String - ""按照行星级别进行排序，级别越高殖民价值也就越高。""",
"""Sort by relative cost to run a full survey, based on the survey resource requirements. Requires a preliminary survey to determine.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$5,"""根据调进行全面调查的资源要求，按照相关成本进行排序。需要进行初步调查来确定。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$5.createImpl - String - ""根据调进行全面调查的资源要求，按照相关成本进行排序。需要进行初步调查来确定。""",
"""Values highlighted in red indicate a cost that exceeds your current resources.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$5,"""红色显示的值代表超出你现有的资源成本。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$5.createImpl - String - ""红色显示的值代表超出你现有的资源成本。""",
"""Sort by the hazard rating. Requires at least a low-orbit preliminary survey to determine.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$6,"""按危险等级排序。至少需要一个低轨道初步调查确定。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$6.createImpl - String - ""按危险等级排序。至少需要一个低轨道初步调查确定。""",
"""Planet or star type and any known planetary conditions.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$7,"""行星或恒星和任何已知的行星状况。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$7.createImpl - String - ""行星或恒星和任何已知的行星状况。""",
"""Sorts by type.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$7,"""按类型排序。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$7.createImpl - String - ""按类型排序。""",
"""Sort by name.""",com/fs/starfarer/campaign/ui/intel/SortablePlanetList$1,"""按名称排序。""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$1.createImpl - String - ""按名称排序。""",
