RAW,cn.mn,constant,constantCN
"com/fs/starfarer/campaign/command/CustomProductionPanel$1.createImpl - String - ""Maximum number of credits worth of production that can be put on this order.""",com/fs/starfarer/campaign/command/CustomProductionPanel$1.createImpl ,Maximum number of credits worth of production that can be put on this order.,可用于此订单生产的最大星币量。
"com/fs/starfarer/campaign/command/CustomProductionPanel$1.createImpl - String - ""The maximum order value is %s, but you only have %s credits available.""",com/fs/starfarer/campaign/command/CustomProductionPanel$1.createImpl ,"The maximum order value is %s, but you only have %s credits available.",最大订单价值为 %s}，但你只有 %s 星币可用。
"com/fs/starfarer/campaign/command/MarketTooltipFactory.super - String - ""Commodity""",com/fs/starfarer/campaign/command/MarketTooltipFactory.super ,Commodity,商品
"com/fs/starfarer/campaign/command/MarketTooltipFactory.super - String - ""Market share""",com/fs/starfarer/campaign/command/MarketTooltipFactory.super ,Market share,市场份额
"com/fs/starfarer/campaign/command/MarketTooltipFactory.super - String - ""Income""",com/fs/starfarer/campaign/command/MarketTooltipFactory.super ,Income,收益
"com/fs/starfarer/campaign/command/MarketTooltipFactory.super - String - ""No exports""",com/fs/starfarer/campaign/command/MarketTooltipFactory.super ,No exports,没有出口
"com/fs/starfarer/title/Object/new.<init> - String - "", """,com/fs/starfarer/title/Object/new.<init> ,", ",，
"com/fs/starfarer/title/Object/new.<init> - String - ""armament""",com/fs/starfarer/title/Object/new.<init> ,armament,舰船武装
"com/fs/starfarer/title/Object/new.<init> - String - ""armor""",com/fs/starfarer/title/Object/new.<init> ,armor,船体装甲
"com/fs/starfarer/title/Object/new.<init> - String - ""hull""",com/fs/starfarer/title/Object/new.<init> ,hull,船体结构
"com/fs/starfarer/title/Object/new.<init> - String - ""shield efficiency""",com/fs/starfarer/title/Object/new.<init> ,shield efficiency,护盾效率
"com/fs/starfarer/title/Object/new.<init> - String - ""shield upkeep""",com/fs/starfarer/title/Object/new.<init> ,shield upkeep,护盾维持
"com/fs/starfarer/title/Object/new.<init> - String - ""flux capacity""",com/fs/starfarer/title/Object/new.<init> ,flux capacity,幅能容量
"com/fs/starfarer/title/Object/new.<init> - String - ""flux dissipation""",com/fs/starfarer/title/Object/new.<init> ,flux dissipation,幅能耗散
"com/fs/starfarer/title/Object/new.<init> - String - ""top speed""",com/fs/starfarer/title/Object/new.<init> ,top speed,最高航速
"com/fs/starfarer/title/Object/new.<init> - String - ""maneuverability""",com/fs/starfarer/title/Object/new.<init> ,maneuverability,舰船机动
"com/fs/starfarer/title/Object/new.<init> - String - ""flight decks: """,com/fs/starfarer/title/Object/new.<init> ,flight decks: ,飞行甲板：
"com/fs/starfarer/campaign/command/CustomProductionPanel$6.createImpl - String - ""Production cost.""",com/fs/starfarer/campaign/command/CustomProductionPanel$6.createImpl ,Production cost.,生产成本。
"com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl - String - ""Left-click to remove, right-click to add.""",com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl ,"Left-click to remove, right-click to add.",左键单击删除，右键单击添加。
"com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl - String - ""Click to add/remove one item, shift-click to add/remove """,com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl ,"Click to add/remove one item, shift-click to add/remove ",如需批量操作，可按住 Shift 键并左/右单击即可 删除或添加 
"com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl - String - "" items, control-click to add/remove maximum amount.""",com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl ," items, control-click to add/remove maximum amount.", 次订单，也可按住 Ctrl 键通过 左/右单击来 删除订单或下达最大订单量。
"com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl - String - ""Mouse over icon for detail about the item.""",com/fs/starfarer/campaign/command/CustomProductionPanel$7.createImpl ,Mouse over icon for detail about the item.,鼠标滑至该项目的图标处即可观察详细信息。
"com/fs/starfarer/campaign/command/CustomProductionPanel$4.createImpl - String - ""Total value of your current custom order. If an order's value exceeds the production capacity, it will take several months to fulfill. Larger items may also take longer to finish.""",com/fs/starfarer/campaign/command/CustomProductionPanel$4.createImpl ,"Total value of your current custom order. If an order's value exceeds the production capacity, it will take several months to fulfill. Larger items may also take longer to finish.",您当前所有订单的所需产能。如果订单价值超过生产能力，则需要几个月的时间才能完成，而更大的项目则需更长时间。
"com/fs/starfarer/campaign/command/CustomProductionPanel$4.createImpl - String - ""Production costs are deducted from your monthly income on the month that the items are delivered to the designated gathering point.""",com/fs/starfarer/campaign/command/CustomProductionPanel$4.createImpl ,Production costs are deducted from your monthly income on the month that the items are delivered to the designated gathering point.,生产成本将从每月收入中扣除，并在该项目结束后交付到指定集散地。
"com/fs/starfarer/campaign/command/CustomProductionPanel$5.createImpl - String - ""Custom-produced ships, weapons, and fighter LPCs will be delivered to this colony near the end of each month and placed in storage.""",com/fs/starfarer/campaign/command/CustomProductionPanel$5.createImpl ,"Custom-produced ships, weapons, and fighter LPCs will be delivered to this colony near the end of each month and placed in storage.",定制生产完毕的舰船，武器与战机 LPC 将在每月底交付至该殖民地并存储起来。
"com/fs/starfarer/campaign/command/CustomProductionPanel$5.createImpl - String - ""Will also receive an additional quantity of supplies, fuel, and crew, based on the cost of the order.""",com/fs/starfarer/campaign/command/CustomProductionPanel$5.createImpl ,"Will also receive an additional quantity of supplies, fuel, and crew, based on the cost of the order.",根据订单成本，还将获得额外数量的补给，燃料以及船员。
"com/fs/starfarer/campaign/BaseLocation$LocationToken.getName - String - ""unknown location""",com/fs/starfarer/campaign/BaseLocation$LocationToken.getName ,unknown location,未知地点
"com/fs/starfarer/campaign/BaseLocation$LocationToken.getFullName - String - ""unknown location""",com/fs/starfarer/campaign/BaseLocation$LocationToken.getFullName ,unknown location,未知地点
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl - String - ""Maximum colony size reached.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl ,Maximum colony size reached.,已达到殖民地规模上限。
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl - String - ""Hazard pay and other financial incentives or investments meant to drive increased immigration to this colony. The growth rate bonus is equal to the colony's hazard rating based penalty to immigration, plus an additional %s points. Each point of growth costs %s per month.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl ,"Hazard pay and other financial incentives or investments meant to drive increased immigration to this colony. The growth rate bonus is equal to the colony's hazard rating based penalty to immigration, plus an additional %s points. Each point of growth costs %s per month.",危险津贴与其他财政奖励或投资，均可推动该殖民地的移民提高。增长率奖励等于该殖民地的危险等级所带来的移民惩罚，再加上额外 %s 点的奖励。而一个增长点的每月成本为 %s.
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl - String - ""For this colony, the total incentive cost is %s per month.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl ,"For this colony, the total incentive cost is %s per month.",对于该殖民地来说，每月总激励成本为 %s.
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl - String - ""Spent so far this month: %s""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$2.createImpl ,Spent so far this month: %s,本月至今的支出：%s
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 - String - "" and """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 , and , 和 
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 - String - "", and """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 ,", and ",，和 
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 - String - "", """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 ,", ",，
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 - String - "".""",com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.?00000 ,.,。
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - "", """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,", ",，
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - ""nothing lost""",com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,nothing lost,没有损失
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - ""Minor accident: """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,Minor accident: ,轻微事故：
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - ""Major accident: """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,Major accident: ,灾难事故：
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - ""Critical accident: """,com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,Critical accident: ,重大事故：
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - ""No accident (""",com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,No accident (,没有事故 (
"com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class - String - "")""",com/fs/starfarer/campaign/accidents/Oo0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO.class ,),)
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl - String - ""A ""free port"" has reduced stability, but increased accessibility. It also benefits from gradually increasing population growth as its reputation spreads.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl ,"A ""free port"" has reduced stability, but increased accessibility. It also benefits from gradually increasing population growth as its reputation spreads.","一处 ""自由港"" 会通过牺牲稳定性来提高殖民地的流通性。且随着声誉不断扩大，其人口增长也会逐渐提高。"
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl - String - ""If free port status is revoked, the bonus population growth will be reset to its starting value on exiting this screen.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl ,"If free port status is revoked, the bonus population growth will be reset to its starting value on exiting this screen.","如果撤销 ""自由港"" 状态，则会在退出此界面后，将人口增长重置到起始值。"
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl - String - ""Unlike normal markets, a free port gets income from smuggled exports.""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl ,"Unlike normal markets, a free port gets income from smuggled exports.",与普通市场不同，自由港可以从走私出口中获利。
"com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl - String - ""Requires a fully constructed spaceport""",com/fs/starfarer/campaign/ui/marketinfo/oOoO$1.createImpl ,Requires a fully constructed spaceport,需要一处设施完善的太空港
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$1.createImpl - String - ""Only show colonies that are either suffering from a shortage or have excess stockpiles. Colonies with excess stockpiles have more of the goods available on the open market and have lower prices. Colonies with shortages have less or none available for sale, and have higher prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$1.createImpl ,"Only show colonies that are either suffering from a shortage or have excess stockpiles.\n\nColonies with excess stockpiles have more of the goods available on the open market and have lower prices.\n\nColonies with shortages have less or none available for sale, and have higher prices.",只显示那些正在经历库存短缺或拥有过剩库存的殖民地。\n\n拥有过剩库存的殖民地在其 公开市场 上有更多商品供应，价格也较低。\n\n出现短缺的殖民地可供出售的商品数量较少，甚至完全没有库存可用，价格也相对较高。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""Shows units of the commodity could be exported.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl ,Shows units of the commodity could be exported.,显示该商品的可出口量。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""Currently being exported at a profit.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl ,Currently being exported at a profit.,显示正在出口获利的殖民地。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""Not being exported, or only exported in-faction, but local demand means prices are not affected.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl ,"Not being exported, or only exported in-faction, but local demand means prices are not affected.",不对外出口，或只对内出口，但当地需求意味着价格将不受影响。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""Only being exported within-faction at no profit, due to insufficient colony accessibility. Lower prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl ,"Only being exported within-faction at no profit, due to insufficient colony accessibility. Lower prices.",由于殖民地流通性不足，导致该商品只能对内出口且无利可图，因此价格较低。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""Not being exported at all due to insufficient colony accessibility. Lower prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl ,Not being exported at all due to insufficient colony accessibility. Lower prices.,由于殖民地流通性严重不足，导致该商品完全无法出口，因此价格极低。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl - String - ""Shows demand for a commodity.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl ,Shows demand for a commodity.,显示对该商品抱有需求的殖民地。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl - String - ""Demand that is currently met.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl ,Demand that is currently met.,目前已满足的需求。
"com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl - String - ""Demand that is not met, either due to a global/in faction shortage, insufficient accessibility, or other factors. Higher prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$4.createImpl ,"Demand that is not met, either due to a global/in faction shortage, insufficient accessibility, or other factors. Higher prices.",由于全星域/某势力短缺，或流通性不足等其他因素而未能满足需求。因此价格较高。
"com/fs/starfarer/coreui/null.<init> - String - ""Level """,com/fs/starfarer/coreui/null.<init> ,Level ,等级 
"com/fs/starfarer/coreui/null.<init> - String - ""Level """,com/fs/starfarer/coreui/null.<init> ,Level ,等级 
"com/fs/starfarer/coreui/null.<init> - String - "" (maximum)""",com/fs/starfarer/coreui/null.<init> , (maximum), [最大值] 
"com/fs/starfarer/coreui/null.O0O000 - String - ""Level """,com/fs/starfarer/coreui/null.O0O000 ,Level ,等级 
"com/fs/starfarer/coreui/null.O0O000 - String - ""Level """,com/fs/starfarer/coreui/null.O0O000 ,Level ,等级 
"com/fs/starfarer/coreui/null.O0O000 - String - "" (maximum)""",com/fs/starfarer/coreui/null.O0O000 , (maximum), [最大值] 
"com/fs/starfarer/coreui/null.O0O000 - String - ""Level """,com/fs/starfarer/coreui/null.O0O000 ,Level ,等级 
"com/fs/starfarer/coreui/null.O0O000 - String - "" (fixed)""",com/fs/starfarer/coreui/null.O0O000 , (fixed), (固定) 
"com/fs/starfarer/coreui/null.O0O000 - String - "" / """,com/fs/starfarer/coreui/null.O0O000 , / , / 
"com/fs/starfarer/coreui/null.O0O000 - String - ""Maximum level reached""",com/fs/starfarer/coreui/null.O0O000 ,Maximum level reached,达到最高等级
"com/fs/starfarer/coreui/null.O0O000 - String - ""Fixed level""",com/fs/starfarer/coreui/null.O0O000 ,Fixed level,固定等级
"com/fs/starfarer/campaign/StarSystem.<init> - String - "" Star System""",com/fs/starfarer/campaign/StarSystem.<init> , Star System, 星系
"com/fs/starfarer/campaign/StarSystem.setBaseName - String - "" Star System""",com/fs/starfarer/campaign/StarSystem.setBaseName , Star System, 星系
"com/fs/starfarer/campaign/StarSystem.setBaseName - String - "" Nebula""",com/fs/starfarer/campaign/StarSystem.setBaseName , Nebula, 星云
"com/fs/starfarer/campaign/StarSystem.initStar - String - "" Star System""",com/fs/starfarer/campaign/StarSystem.initStar , Star System, 星系
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - ""hyperspace""",com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints ,hyperspace,超空间
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - "" Gravity Well""",com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints , Gravity Well, 重力井
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - "", """,com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints ,", ",，
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - "", """,com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints ,", ",，
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - "", Fringe Jump-point""",com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints ,", Fringe Jump-point",，边缘跳跃点
"com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints - String - ""Fringe Jump-point""",com/fs/starfarer/campaign/StarSystem.autogenerateHyperspaceJumpPoints ,Fringe Jump-point,边缘跳跃点
