LDC97,class97,LDC96CN
""" (""",com/fs/starfarer/api/impl/campaign/intel/events/StandardPerseanLeagueActivityCause$1,#N/A
""")""",com/fs/starfarer/api/impl/campaign/intel/events/StandardPerseanLeagueActivityCause$1,#N/A
"""A grinning security officer is gesturing excitedly to a nearby patron.""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""一名满脸喜色的安全部军官正兴奋地向旁边的酒客比划着什么。"""
"""Sidle up to the security officer and see what they're so pleased about""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""不动声色地靠近这名安全部军官，看看他们在高兴什么"""
"""""Why, just today an amazing opportunity fell into my lap. And yours as well, how wonderful!"" """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""""那啥？今天有个千载难逢的好机会落在了我的头上。而且你也有份，好得很！"" """
""" sweeps """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""如王者般张开了"""
""" arm regally """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""双臂"""
"""to encompass the scale of your shared luck, somehow managing not to spill the drinks of """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""，仿佛要给你比划这好机会到底有多大，差点就没把旁边人的酒给碰洒了。"""
"""You are told the story of tiresome property seizures from """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""于是乎，你又听到了一个让人耳朵起茧的资产罚没故事"""
""" ""It's not so much trouble to, you know. Play along? """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""罚没对象自然是那些 '不忠分子们'。"" 其实这对...你懂的那些家伙来说也不算什么大麻烦，对吧？"""
"""But they insist on carrying on, and on... not that I mind the perks of the job, of course.""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""但他们一直坚持要求对此坚决打击，常抓不懈...当然，我也就不介意从这份工作里捞点好处了。"""""
""" turns to """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""和你商讨之后，"""
"""you. %s will satisfy the district commandant as well as your new friend here, """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""敲定大概只要 %s 就能让第四区的指挥官和你在这结交到的新朋友满意交货。"""
"""""What do you say, will you help maintain a little law and order?""""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""然后所有的货物都会直接转到你的货舱里，不用理会关税。"""
"""Accept the offer and transfer """,com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""接受提议，并将 """
""" to the provided TriAnon account""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,""" 汇入其私人账户内"""
"""Decline the offer apologetically, citing a terrible shellfish allergy""",com/fs/starfarer/api/impl/campaign/intel/bar/events/DiktatLobsterBarEvent,"""以对海鲜过敏为由，拒绝了该提议"""
""" - Pirate""",com/fs/starfarer/api/impl/campaign/missions/cb/CBPirate,""" - 海盗"""
"""You've uninstalled the comm sniffer at """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""你已经卸载了通讯嗅探器 - """
"""The comm sniffer installed at """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""安装在 """
""" is no longer responding to status queries.""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" 上的通信嗅探器将不再响应查询功能。"""
"""You have installed a comm sniffer at """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""你已经安装了一个通信嗅探器 - """
"""It is providing you with up-to-date local intel for the """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""它将实时为你提供下列星系的所有讯息："""
"""low""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""低"""
"""medium""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""普通"""
"""high""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""高"""
"""sniffers""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""嗅探器"""
"""any of them""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""与"""
"""sniffer""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""嗅探器"""
"""it""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""它"""
"""You have %s comm """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""你在 %s 个通讯网络内安装了 """
""" installed in the comm network. """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" . """
"""There is no danger of """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""但它没有被发现，所以"""
""" being detected and cleared out.""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""不存在被移除的风险。"""
"""You have %s comm """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""你在 %s 个通讯网络内安装了 """
""" installed in the comm network. The probability """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" . 而它被"""
"""of """,com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""发现"""
""" being detected and cleared out is %s.""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""移除的概率为 %s."""
"""Uninstall comm sniffer""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""卸载通讯嗅探器"""
"""Uninstalling this comm sniffer will reduce the chance that the remaining comm sniffers are detected.""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""卸载该通信嗅探器将降低其他通信嗅探器被发现的机会。"""
"""Comm sniffers""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""通讯嗅探器"""
"""Comm Sniffer""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""通讯嗅探器"""
"""Comm Sniffer""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,"""通讯嗅探器"""
""" - Uninstalled""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" - 已卸载"""
""" - Lost""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" - 已失去"""
""" Installed""",com/fs/starfarer/api/impl/campaign/intel/misc/CommSnifferIntel,""" 已安装"""
"""Affects: %s""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level1,"""影响：%s"""
"""all combat ships, including carriers and militarized civilian ships""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level1,"""所有战斗舰船，包括航母和带有 军事化子系统 的民用船体"""
"""+%s flux dissipation for combat ships (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level1,"""+%s 作战舰船的幅能耗散 (最高：%s) """
"""+%s flux capacity for combat ships (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level1,"""+%s 作战舰船的幅能容量 (最高：%s) """
""" maximum flux capacitors""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level2,""" 幅能寄存器上限"""
""" Starting food shortage""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 食品短缺"""
""", food needed: """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""", 需要食品："""
""", stockpile mult: """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""", 库存量较多："""
""", max duration: """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""", 最大持续时间："""
""" days""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 天"""
""" No relief market found""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 没有救济的市场"""
""" Failed to spawn relief fleet""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 未能派出救援船队"""
"""loading food from """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""从中装载食品 """
"""delivering food relief from """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""提供食品救济 """
""" to """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 到 """
"""offloading food at """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""卸载食品 """
"""returning to """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""正在返回 """
""" after delivering food relief to """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 把食品救济送往 """
""" Sending relief fleet from """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 派遣救援船队从 """
""" Relief aborted, fleet returning to """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 救援失败，舰队返回 """
""" unrest at """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 动荡 """
""" Expired""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 到期"""
"""Financial transaction confirmed""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""交易完毕"""
""" Ended by player within 7 days""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 被玩家在 7 天内结束了"""
""" Ended by player""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 被玩家结束了"""
"""Financial transaction confirmed""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""交易完毕"""
""" Ended by player black market trade""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 被玩家黑市交易结束了"""
""" Ended by relief fleet arrival""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 通过救援船队的到来结束了"""
""" Unrest +""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" 动乱 +"""
"""likely""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""容易"""
"""within a few days""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""几天之内"""
"""within a week""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""一周之内"""
"""within a couple of weeks""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""几周之内"""
"""within a month""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""一个月之内"""
"""in the coming months""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""在未来的几个月"""
"""Possible food shortage - """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""可能食品短缺 - """
"""Food shortage - """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""食品短缺 - """
""" (over)""",com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,""" (结束) """
"""Food shortage - """,com/fs/starfarer/api/impl/campaign/events/FoodShortageEvent,"""食品短缺 - """
""" maximum flux vents""",com/fs/starfarer/api/impl/campaign/skills/FluxRegulation$Level3,""" 耗散通道上限"""
"""preparing for a voyage to """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""准备启程前往 """
"""loading """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在装载 """
""" at """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""", 货运港口："""
"""orbiting """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正环绕于 """
"""unloading """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在卸载 """
""" at """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""", 货运港口："""
"""traveling to """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在前往 """
"""delivering """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在运输 """
""" to """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""" 到 """
"""returning to """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在返回 """
"""returning to """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在返回 """
""" with """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""", 当前载有 """
"""orbiting """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正环绕于 """
"""unloading """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在卸载 """
""" at """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""", 货运港口："""
"""orbiting """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正环绕于 """
"""loading """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,"""正在装载 """
""" at """,com/fs/starfarer/api/impl/campaign/fleets/EconomyFleetAssignmentAI,""", 货运港口："""
"""Commerce raiders destroyed""",com/fs/starfarer/api/impl/campaign/intel/events/ttcr/TTCRCommerceRaidersDestroyedFactor,#N/A
"""Abyssal light (for """,com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
""" more light-years)""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""Abyssal light (for """,com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
""" more light-years)""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""Abyssal light (for """,com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
""" more light-years)""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""Increased burn level for %s light-years""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""+""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""Increased sensor range for %s light-years""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""+""",com/fs/starfarer/api/impl/campaign/AbyssalLightBonus,#N/A
"""Low gravity""",com/fs/starfarer/api/impl/campaign/econ/LowGravity,"""低重力"""
"""%s accessibility""",com/fs/starfarer/api/impl/campaign/econ/LowGravity,"""%s 流通性"""
"""+25% missile weapon ammo regeneration rate (only for missile weapons that regenerate ammo)""",com/fs/starfarer/api/impl/campaign/skills/MissileSpecialization$Level3A,#N/A
"""%s of hull and armor damage taken repaired after combat ends, at no cost (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/FieldRepairs$Level2,"""战斗结束后，免费修复 %s 的结构和装甲损伤 (最高：%s) """
"""+%s ship repair rate outside of combat (maximum: %s)""",com/fs/starfarer/api/impl/campaign/skills/FieldRepairs$Level1,"""+%s 战斗外的维修速度 (最高：%s) """
"""Starting smuggling investigation at %s""",com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""开始走私调查 %s"""
"""Smuggling investigation - """,com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""走私调查 - """
""" (over)""",com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,""" (结束) """
"""Smuggling investigation - """,com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""走私调查 - """
"""him""",com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""他"""
"""her""",com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""她"""
"""Unknown""",com/fs/starfarer/api/impl/campaign/events/InvestigationEventSmugglingV2,"""不明"""
"""Ancient Earth Studies""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""古地球研究学"""
"""Ancient Terran Philosophy""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""古地球人哲学"""
"""Applied Anorthic Geometry""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""正交几何学"""
"""Applied Holoarts""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""全息艺术"""
"""Astrochemistry""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""天体化学"""
"""Astrometrics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""天体测量学"""
"""AI Defense Studies""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""AI 防御研究"""
"""Classical Terran Studies""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""古人类研究"""
"""Cybermedical Engineering""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""网络医疗技术"""
"""Cybernetic Physiology""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""控制论生理学研究"""
"""Demographic Calculus""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""人口微积分"""
"""Domain Sociology""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""人之领社会学"""
"""Domain History""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""人之领历史学"""
"""Environmental Engineering""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""环境工程学"""
"""Exotic Manifold Engineering""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""多样化工程学"""
"""Gravity Control""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""重力控制学"""
"""Gravity Dynamics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""重力动力学"""
"""Holoart Studies""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""全息艺术研究"""
"""Hyperspace Physics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""超空间物理学"""
"""LAMBDA-F""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""LAMBDA - F 研究"""
"""Nanotech Engineering""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""纳米技术工程"""
"""Nanorobotics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""纳米生物技术实验"""
"""Nonlinear Mathematics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""非线性数学"""
"""Orbital Architecture""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""轨道建筑学"""
"""Post-Expansion Philosophy""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""扩展纪元哲学"""
"""Persean Sociology""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""英仙座社会学"""
"""Phase Physics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""相位物理学"""
"""Quantum Chemistry""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""量子化学"""
"""N-Space Resonance""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""N - 空间共振实验"""
"""Special Collections""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""特色馆藏库建设研究"""
"""Tau Hyperphysics""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""Tau 超物理学"""
"""Talos Containment""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,#N/A
"""Templeman Hyperwave Theory""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""Templeman 超波理论"""
"""Terran Biology""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""人类生物学"""
"""Xenobiology""",com/fs/starfarer/api/impl/campaign/missions/academy/GADepartments,"""宇宙生物学"""
"""Abandon""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""放弃"""
"""You have successfully """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你已成功"""
""" this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 该 """
"""You have failed this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你未能"""
"""You have abandoned this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你放弃了该 """
"""his""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""His""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""him""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""Him""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""he""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""He""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""himself""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""Himself""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""他"""
"""man""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""男人"""
"""Man""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""男人"""
"""her""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""Her""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""her""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""Her""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""she""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""She""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""herself""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""Herself""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""她"""
"""woman""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""女人"""
"""Woman""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""女人"""
""" - Completed""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" - 完成"""
""" - Failed""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" - 失败"""
""" - Abandoned""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" - 放弃"""
""" - Ended""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" - 已结束"""
""" - Accepted""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" - 已接受"""
"""%s received""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""%s 已收到"""
"""to complete""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""期限"""
"""%s reward""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""%s 奖励"""
""" given by """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""提供者："""
""", affiliated with """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""提供者："""
"""Abandon""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""放弃"""
"""You can abandon this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你可以放弃该 """
""" without a penalty.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 来避免惩罚。"""
"""It's been less than a day, and you can still abandon this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""由于距接到此任务才过去不到一天的时间，因此你大可放弃该 """
""" without a penalty.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 来避免惩罚。"""
"""You can abandon this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你可以放弃该 """
""", but will suffer """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 但必将影响你与任务提供者"""
"""a reputation penalty with """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""的关系 - """
"""You can abandon this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你可以放弃该 """
""", but will suffer """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 但必将影响你与任务提供者"""
"""a reputation penalty with """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""的关系 - """
"""You can abandon this """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""你可以放弃该 """
""", but will suffer """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 但必将影响你与任务提供者"""
"""a reputation penalty with both """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""与相关势力的关系 - """
""" and """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 和 """
"""mission""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""任务"""
"""completed""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""完成"""
"""a """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""a """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""an """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""an """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" """
"""Get within range of a functional comm relay to complete the mission and receive your reward.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""只需抵达任意通讯中继器的有效范围即可获得奖励。"""
"""Get within comms range to complete the mission""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""进入通讯中继器的有效范围来完成任务。"""
"""Go to the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 位于 """
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 位于 """
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
""" in hyperspace""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 而此处可能位于超空间内"""
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
""" in the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""", 位于 """
"""Go to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""前往 """
""" and talk to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 并联系 """
"""Talk to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""联系 """
"""Return to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""回到 """
""" and talk to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 并联系 """
""" to receive your reward""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 即可获得奖励"""
"""Return to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""回到 """
""" and talk to """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 并联系 """
""" must be disrupted for at least %s days. The operation """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,""" 必须被瘫痪 %s 天。"""
"""will require around %s marines, and the """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""本次行动可能需要约 %s 名陆战队员。"""
"""danger level is %s.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""且目标危险程度为 %s."""
"""The operation will require around %s marines, and the danger level is %s.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""需要约 %s 名陆战队，且目标危险等级为 %s."""
"""The operation will require around %s marines, and the danger level is %s.""",com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,"""需要约 %s 名陆战队，且目标危险等级为 %s."""
"""is """,com/fs/starfarer/api/impl/campaign/missions/hub/BaseHubMission,#N/A
