LDC_96a,Class,LDC__95.1CN,RAW_95.1CN
"""No AI core currently assigned.""",com/fs/starfarer/campaign/ui/marketinfo/c$2,"""目前没有分配任何 AI 核心.""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$2.createImpl - String - ""目前没有分配任何 AI 核心."""
"""Must be present at colony to manage""",com/fs/starfarer/campaign/ui/marketinfo/c$2,"""必须身处殖民地才可进行管理""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$2.createImpl - String - ""必须身处殖民地才可进行管理"""
"""Must be present at colony to manage""",com/fs/starfarer/campaign/ui/marketinfo/c$3,"""必须身处殖民地才可进行管理""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$3.createImpl - String - ""必须身处殖民地才可进行管理"""
"""Currently under construction. Cancel construction for a %s refund.""",com/fs/starfarer/campaign/ui/marketinfo/c$4,"""正在建设中. 如取消施工, 将获得 %s 的退款.""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$4.createImpl - String - ""正在建设中. 如取消施工, 将获得 %s 的退款."""
"""Currently upgrading to """,com/fs/starfarer/campaign/ui/marketinfo/c$5,"""正在升级 ""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$5.createImpl - String - ""正在升级 """
""" Cancel the upgrade for a %s refund.""",com/fs/starfarer/campaign/ui/marketinfo/c$5,""" 取消升级将获得 %s 的退款.""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$5.createImpl - String - "" 取消升级将获得 %s 的退款."""
"""Shut down all operations for a %s refund.""",com/fs/starfarer/campaign/ui/marketinfo/c$7,"""终止所有操作并退还 %s .""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$6.createImpl - String - ""终止所有操作并退还 %s ."""
"""Equivalent to downgrading and then shutting down for upgraded industries and structures. Returns %s of the construction costs.""",com/fs/starfarer/campaign/ui/marketinfo/c$7,"""相当于降级, 然后关闭升级后的工业设施或其他设施, 并返还 %s 的建筑成本.""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$6.createImpl - String - ""相当于降级, 然后关闭升级后的工业设施或其他设施, 并返还 %s 的建筑成本."""
"""Made improvements to """,com/fs/starfarer/campaign/ui/marketinfo/c$8,"""改善了以下设施: ""","com/fs/starfarer/campaign/ui/marketinfo/OO0o$7.getLogText - String - ""改善了以下设施: """
"""Dismiss""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""离开""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""离开"""
"""Only show colonies with excess stockpiles or shortages""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""仅显示库存过剩或库存短缺的殖民地""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""仅显示库存过剩或库存短缺的殖民地"""
"""Colony""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""殖民地""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""殖民地"""
"""Size""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""规模""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""规模"""
"""Faction""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""势力""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""势力"""
"""Quantity""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""数量""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""数量"""
"""Access""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""流通性""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""流通性"""
"""Mkt share""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""市场占有率""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""市场占有率"""
"""Income""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""收益""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""收益"""
"""No producers of """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有生产商 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""没有生产商 """
"""Colony""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""殖民地""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""殖民地"""
"""Size""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""规模""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""规模"""
"""Faction""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""势力""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""势力"""
"""Quantity""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""数量""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""数量"""
"""Access""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""流通性""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""流通性"""
"""Mkt percent""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""市场贡献率""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""市场贡献率"""
"""Value""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""价值""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""价值"""
"""No demand for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有需求 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""没有需求 """
"""Producers""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""生产商""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""生产商"""
"""Consumers""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""消费方""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""消费方"""
""" - Commodities""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" - 商品""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - "" - 商品"""
"""Global market value""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""市场价值""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""市场价值"""
"""Total profit that can be made fulfilling the demand for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""能够满足 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""能够满足 """
"""More expensive commodities often have lower profit margins due to the high costs """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""由于制造和运输成本高昂, ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""由于制造和运输成本高昂, """
"""The value shown here does not include the demand at your colonies, """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""此价值并不包括你所属的殖民地的需求, ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""此价值并不包括你所属的殖民地的需求, """
"""since there is no profit to be made there.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""因为没人从中赚取任何利益.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""因为没人从中赚取任何利益."""
"""Max global export""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""最大出口量""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""最大出口量"""
"""Max """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - "" """
""" export""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 最大出口量""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - "" 最大出口量"""
""" market share""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 的市场份额""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - "" 的市场份额"""
""" market share""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 的市场份额""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - "" 的市场份额"""
"""Max """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" """
""" export""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 最大出口量""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 最大出口量"""
"""Maximum number of units capable of being exported by a single producer under """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""代表 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""代表 """
""" control, to another """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 与""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 与"""
"""colony controlled by """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""其他 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""其他 """
"""Either this or the maximum global export will be used, depending on which one """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""根据殖民地的流通性与运输限制, ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""根据殖民地的流通性与运输限制, """
"""is higher given the colony's accessibility-based shipping limits.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""将选择对内出口或对外出口.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""将选择对内出口或对外出口."""
""" market share""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 的市场份额""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 的市场份额"""
"""Total export market share for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""该 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""该 """
""" for all colonies under """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 在 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 在 """
""" control.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 所有殖民地的出口市场份额.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 所有殖民地的出口市场份额."""
""" market share""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 的市场份额""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 的市场份额"""
"""Total export market share for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""该 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""该 """
""" for all colonies under """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 在 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - "" 在 """
"""your control.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""你的所有殖民地的出口市场份额.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateFactionBasedValues - String - ""你的所有殖民地的出口市场份额."""
"""unit is""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""unit""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""units are""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""units""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""No producers of """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有生产商 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateTables - String - ""没有生产商 """
"""No colonies with demand for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有殖民地抱有需求 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateTables - String - ""没有殖民地抱有需求 """
"""No producers of """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有生产商 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateTables - String - ""没有生产商 """
""" with excess stockpiles""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,""" 库存过剩""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateTables - String - "" 库存过剩"""
"""No colonies with unmet demand for """,com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""没有需求未满足的殖民地 ""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.updateTables - String - ""没有需求未满足的殖民地 """
"""Colony name.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""殖民地名称.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.addCSRTooltips - String - ""殖民地名称."""
"""Colony size.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""殖民地规模.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.addCSRTooltips - String - ""殖民地规模."""
"""Faction that controls this colony.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""控制该殖民地的势力""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.addCSRTooltips - String - ""控制该殖民地的势力"""
"""How much the colony's demand contributes to the global market value for the commodity.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2,"""该殖民地的需求对该商品的市场份额所带来的贡献.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.addCSRTooltips - String - ""该殖民地的需求对该商品的市场份额所带来的贡献."""
"""Shows units of the commodity could be exported.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2,"""显示该商品的可出口量.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2.createImpl - String - ""显示该商品的可出口量."""
"""Currently being exported at a profit.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2,"""显示正在出口获利的殖民地.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2.createImpl - String - ""显示正在出口获利的殖民地."""
"""Not being exported, or only exported in-faction, but local demand means prices are not affected.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2,"""不对外出口, 或只对内出口, 但当地需求意味着价格将不受影响.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2.createImpl - String - ""不对外出口, 或只对内出口, 但当地需求意味着价格将不受影响."""
"""Only being exported within-faction at no profit, due to insufficient colony accessibility. Lower prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2,"""由于殖民地流通性不足, 导致该商品只能对内出口且无利可图, 因此价格较低.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2.createImpl - String - ""由于殖民地流通性不足, 导致该商品只能对内出口且无利可图, 因此价格较低."""
"""Not being exported at all due to insufficient colony accessibility. Lower prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2,"""由于殖民地流通性严重不足, 导致该商品完全无法出口, 因此价格极低.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$2.createImpl - String - ""由于殖民地流通性严重不足, 导致该商品完全无法出口, 因此价格极低."""
"""Shows demand for a commodity.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3,"""显示对该商品抱有需求的殖民地.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""显示对该商品抱有需求的殖民地."""
"""Demand that is currently met.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3,"""目前已满足的需求.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""目前已满足的需求."""
"""Demand that is not met, either due to a global/in faction shortage, insufficient accessibility, or other factors. Higher prices.""",com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3,"""由于全星域/某势力短缺, 或流通性不足等其他因素而未能满足需求. 因此价格较高.""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2$3.createImpl - String - ""由于全星域/某势力短缺, 或流通性不足等其他因素而未能满足需求. 因此价格较高."""
"""Illegal commodities (faction-wide)""",com/fs/starfarer/campaign/ui/marketinfo/classnew,"""非法商品 (全势力)""","com/fs/starfarer/campaign/ui/marketinfo/n.sizeChanged - String - ""非法商品 (全势力)"""
"""Manage...""",com/fs/starfarer/campaign/ui/marketinfo/classnew,"""管理...""","com/fs/starfarer/campaign/ui/marketinfo/n.sizeChanged - String - ""管理..."""
"""Dismiss""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""离开""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""离开"""
"""Rank""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Potential supplier""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Size""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""规模""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""规模"""
"""Faction""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Quantity""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""出口量""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""出口量"""
"""Income""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""收益""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""收益"""
"""Accessibility""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""流通性""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""流通性"""
"""No potential suppliers""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Rank""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Potential export to...""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Size""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""规模""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""规模"""
"""Faction""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Quantity""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""出口量""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""出口量"""
"""Income""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""收益""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""收益"""
"""Accessibility""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""流通性""","com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog.createUI - String - ""流通性"""
"""No potential exports where """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" is ranked at least tenth""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""unit is""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""unit""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""units are""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""units""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""is""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""unit""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""are""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""units""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" - """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Alternate suppliers""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Potential exports""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Competing exporters""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" - Commodities""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Hide 0-income exports""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Only show current exports""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""unit is""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""unit""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""units are""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
"""units""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""单位""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.actionPerformed - String - ""单位"""
""" - current and alternate sources of """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" - current and possible """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" exports""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,""" 出口""","com/fs/starfarer/campaign/ui/marketinfo/EconomyOverviewPanel.sizeChanged - String - "" 出口"""
""" is not currently exporting any """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""No potential profitable exports where """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" is ranked at least tenth""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""No potential exports where """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" is ranked at least tenth""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Rank""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Potential supplier""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""Size""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""规模""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""规模"""
"""Faction""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""势力""","com/fs/starfarer/campaign/ui/marketinfo/cdd/CommodityDetailDialogV2.createUI - String - ""势力"""
"""Quantity""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""所需资源 (可用)""","com/fs/starfarer/ui/impl/ooOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO$1.createImpl - String - ""所需资源 (可用)"""
"""Income""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""收益""","com/fs/starfarer/campaign/command/IntelIncomePanel.sizeChanged - String - ""收益"""
"""Accessibility""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""流通性""","com/fs/starfarer/campaign/command/MarketTooltipFactory$7.createImpl - String - ""流通性"""
"""Select potential importer to view their current suppliers""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" - competition for exporting """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
""" to """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,""" 至 ""","com/fs/starfarer/campaign/ui/marketinfo/OO0o.actionPerformed - String - "" 至 """
""" on """,com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,#N/A,#N/A
"""station""",com/fs/starfarer/campaign/ui/marketinfo/CommodityDetailDialog,"""空间站""","com/fs/starfarer/campaign/ui/intel/SortablePlanetList$9.o00000 - String - ""空间站"""
